Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
260_Cort_22YMFCLT3_R1_merged	1.3941542111807959	0.6423131716823995
260_Cort_22YMFCLT3_R2_merged	1.9787269569345414	0.1936826864772927
985_Cort_22YMFCLT3_R1_merged	1.1486061290321707	0.14359256416435362
985_Cort_22YMFCLT3_R2_merged	1.3519811049275183	0.0
Tube1_Cort_22YMFCLT3_R1_merged	0.5279545072605629	0.33989024406647317
Tube1_Cort_22YMFCLT3_R2_merged	0.8038047255951207	0.15293445001297545
Tube2_Cort_22YMFCLT3_R1_merged	0.41696224527952314	0.0
Tube2_Cort_22YMFCLT3_R2_merged	0.4652632207470859	0.0
Tube3_Cort_22YMFCLT3_R1_merged	0.33442162450799834	0.22253355736299713
Tube3_Cort_22YMFCLT3_R2_merged	0.580086392252998	0.13249175105826128
Tube4_Cort_22YMFCLT3_R1_merged	1.2911990937305513	1.180120858016682
Tube4_Cort_22YMFCLT3_R2_merged	2.5689267462732066	0.12232181648394524
