Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
985_Cort_22YMFCLT3_R2_merged - polya	(1, 2.0284420023805796e-05)	(2, 0.018398814145759515)	(3, 0.026362984557606266)	(4, 0.030376764169816838)	(5, 0.03453507027469702)	(6, 0.03798257649457635)	(7, 0.04042262318660666)	(8, 0.04314918731147322)	(9, 0.04904350169672412)	(10, 0.06085790858433951)	(12, 0.06987729142950799)	(14, 0.07718475374308403)	(16, 0.08600974422969104)	(18, 0.0961240631640612)	(20, 0.10476100017336418)	(22, 0.11309029014563943)	(24, 0.12141704456541172)	(26, 0.13058856056075874)	(28, 0.1389165827567825)	(30, 0.1474297002855235)	(32, 0.15571968919400264)	(34, 0.16396910926243413)	(36, 0.17250504676370193)	(38, 0.18149949667592447)	(40, 0.19029490571666344)	(42, 0.19813145331919374)	(44, 0.20656385575992334)	(46, 0.21507021181532304)	(48, 0.2232951215428925)	(50, 0.23161173375265287)	(52, 0.23950406351024864)	(54, 0.24745217542290987)	(56, 0.25491557421541894)	(58, 0.2626443608365727)	(60, 0.2706457193517965)	(62, 0.27813827699808974)	(64, 0.286066527082811)	(66, 0.29340399343433893)	(68, 0.30100346687784096)	(70, 0.3088788929520836)	(72, 0.316720089067536)	(74, 0.3244564823461988)	(76, 0.3323035947508248)	(78, 0.34037383577571273)	(80, 0.3482479940737039)	(82, 0.3562861181002207)	(84, 0.3644987726573591)	(86, 0.37226390219772226)	(88, 0.38021032374204816)	(90, 0.3887361190333041)	(92, 0.39717443776320727)	(94, 0.40549358552547066)	(96, 0.41408657295805534)	(98, 0.4224691095328931)	(100, 0.43201630989076434)	(102, 0.44080495745816206)	(104, 0.4490560678949289)	(106, 0.45734352125090505)	(108, 0.46551349400757663)	(110, 0.4730770471239532)	(112, 0.48045804046011553)	(114, 0.48822147963214335)	(116, 0.4957153050546882)	(118, 0.5033764769424294)	(120, 0.5106163245225926)	(122, 0.5181477606405982)	(124, 0.5262657545709588)	(126, 0.5341513228552133)	(128, 0.5419329334868459)	(130, 0.5498548446903097)	(132, 0.5576271582960979)	(134, 0.5647930522615912)	(136, 0.5719361262545576)	(138, 0.5786401270724253)
985_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.02930676101356108)	(2, 0.03305261724462388)	(3, 0.03653055009453892)	(4, 0.03744334899561018)	(5, 0.040768303511179015)	(6, 0.042083410076055754)	(7, 0.0431229866022758)	(8, 0.04424032007192044)	(9, 0.04515988044633297)	(10, 0.046477099971628855)	(12, 0.0489856065812395)	(14, 0.05079134255544206)	(16, 0.052046863636498866)	(18, 0.05298121473384542)	(20, 0.05388936512199456)	(22, 0.05467285084541405)	(24, 0.05537519888873833)	(26, 0.0560124677511529)	(28, 0.056783698304141345)	(30, 0.05753717998960897)	(32, 0.05825600912420258)	(34, 0.060034276612956225)	(36, 0.06067154547537079)	(38, 0.0613844583207908)	(40, 0.06213371408542012)	(42, 0.06280901623537932)	(44, 0.06355108793458356)	(46, 0.06422089638745299)	(48, 0.06497649103333974)	(50, 0.06574180529715458)	(52, 0.06642344632837122)	(54, 0.06715664359381504)	(56, 0.06793210006764178)	(58, 0.06870121766021109)	(60, 0.06949442300155866)	(62, 0.07035608826048657)	(64, 0.07123254424234851)	(66, 0.07211576169755173)	(68, 0.07300489544192855)	(70, 0.07392614618467638)	(72, 0.07489219168831014)	(74, 0.07605770065551132)	(76, 0.07957324420088716)	(78, 0.3894164922882692)	(80, 1.4610098625554744)	(82, 1.4906069443306262)	(84, 1.5000535677725462)	(86, 1.5066988282907618)	(88, 1.5117187996545698)	(90, 1.5167007377308335)	(92, 1.5205374512599195)	(94, 1.5229956694115545)	(96, 1.525034253623947)	(98, 1.527227083946937)	(100, 1.5301471952461974)	(102, 1.5340105320765647)	(104, 1.5384118286296466)	(106, 1.5440944243808992)	(108, 1.5501366459954904)	(110, 1.5591644806823355)	(112, 1.587095704463032)	(114, 1.621774878638315)	(116, 1.6427295297070739)	(118, 1.659733789976197)	(120, 1.6754761902830055)	(122, 1.6968276553184802)	(124, 1.7218290481819887)	(126, 1.7472496523926555)	(128, 1.776708546556395)	(130, 1.8114705487801084)	(132, 1.8412332866521215)	(134, 1.8656071302711432)	(136, 1.888052686211652)	(138, 1.909643338366574)
Tube1_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.003615169656517133)	(2, 0.8261455653505955)	(3, 0.826316165009511)	(4, 0.8263341679885926)	(5, 0.8263916060647098)	(6, 0.8264010361966098)	(7, 0.8264164673215367)	(8, 0.8264250401687184)	(9, 0.8264721908282177)	(10, 0.8264949088732492)	(12, 0.8265823519145024)	(14, 0.8269659868258828)	(16, 0.8275437967259285)	(18, 0.8279437200469542)	(20, 0.8283303554548482)	(22, 0.8306685995236531)	(24, 0.8336690960372434)	(26, 0.8386160575034356)	(28, 0.8450281185529778)	(30, 0.8519013987808949)	(32, 0.8616191497036954)	(34, 0.8823705835916853)	(36, 0.9246454362563762)	(38, 0.9509477886945081)	(40, 0.9702799877315699)	(42, 0.9879409102105619)	(44, 1.0103481895316946)	(46, 1.0404688881045496)	(48, 1.0689976089557653)	(50, 1.101383682396381)	(52, 1.1399700675611513)	(54, 1.1768903198761609)	(56, 1.203301118831141)	(58, 1.227412680171993)	(60, 1.2511050292856605)	(62, 1.2760785904106309)	(64, 1.3021336162075712)	(66, 1.3318946838411543)	(68, 1.3648307054284752)	(70, 1.403232774378839)	(72, 1.4472556305838757)	(74, 1.50029540745461)	(76, 1.5659634168663277)	(78, 1.6438845967548292)	(80, 1.7364477709872923)	(82, 1.84897367716703)	(84, 1.9865661598636595)	(86, 2.1535827972996318)	(88, 2.359079516595322)	(90, 2.5949656932230125)	(92, 2.871674053560457)	(94, 3.195292176391372)	(96, 3.576792877465955)	(98, 4.018063469091255)	(100, 4.506774053808213)	(102, 5.0412550696281935)	(104, 5.635767876480292)	(106, 6.301334155343643)	(108, 7.032791337645435)	(110, 7.815054641484775)	(112, 8.630554445205151)	(114, 9.481058041253071)	(116, 10.383468512416668)	(118, 11.35135538985747)	(120, 12.358337450943274)	(122, 13.388624797092493)	(124, 14.44218828062471)	(126, 15.537287208752197)	(128, 16.680124893695623)	(130, 17.866162012872287)	(132, 19.038365985836577)	(134, 20.201363149570096)	(136, 21.370954975998128)	(138, 22.563324000103183)
Tube1_Cort_22YMFCLT3_R1_merged - polya	(1, 0.0)	(2, 0.0006858277745349079)	(3, 0.002293236621101098)	(4, 0.004290710014434017)	(5, 0.008242792565191424)	(6, 0.012070568831814378)	(7, 0.015822046758520322)	(8, 0.021629293439394657)	(9, 0.030112983010391465)	(10, 0.05050221410495519)	(12, 0.06701566098867852)	(14, 0.07897564009184915)	(16, 0.08916404032492428)	(18, 0.09958947978257304)	(20, 0.10962099691222332)	(22, 0.1191467160581541)	(24, 0.12853955607276876)	(26, 0.1388509766629011)	(28, 0.14753312764615395)	(30, 0.16102464589833282)	(32, 0.1755200445554872)	(34, 0.18474657133477712)	(36, 0.19309652448973963)	(38, 0.20204571966270202)	(40, 0.21500057768130734)	(42, 0.22809002940066514)	(44, 0.23950648999251684)	(46, 0.24759497130843794)	(48, 0.2556650210029183)	(50, 0.2636334824582958)	(52, 0.27152564557375625)	(54, 0.2794255242516802)	(56, 0.2871119390347802)	(58, 0.29579494730275124)	(60, 0.30544797322933004)	(62, 0.3151417201800219)	(64, 0.32608624553452176)	(66, 0.339223705198097)	(68, 0.355511686200942)	(70, 0.3677048467474545)	(72, 0.3773094360874568)	(74, 0.38841856010784503)	(76, 0.3993600849658313)	(78, 0.4080713836295019)	(80, 0.41845867391719216)	(82, 0.4282368634126236)	(84, 0.43971290529238805)	(86, 0.45049497519279497)	(88, 0.46280001139502847)	(90, 0.47220999710400646)	(92, 0.48035377328424944)	(94, 0.488897044143159)	(96, 0.4966306095857582)	(98, 0.5038429459197109)	(100, 0.510869251469821)	(102, 0.5175629305492817)	(104, 0.5239865649425194)	(106, 0.5311281752872232)	(108, 0.5377939926133434)	(110, 0.5443860834537011)	(112, 0.5507051291113221)	(114, 0.5573015063752706)	(116, 0.563641984150846)	(118, 0.569275202033932)	(120, 0.5764339580729991)	(122, 0.5835940000391435)	(124, 0.5901530854178518)	(126, 0.5982870028238358)	(128, 0.6066073796560215)	(130, 0.6143833806921701)	(132, 0.6228696421173214)	(134, 0.6309358340305702)	(136, 0.64371066225836)	(138, 0.6503979117024344)
Tube1_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.012831837661548126)	(4, 0.014740153444191507)	(5, 0.018231016816574186)	(6, 0.019641250177961592)	(7, 0.02088431301930611)	(8, 0.02194048779208987)	(9, 0.023192980765334246)	(10, 0.02508200764181883)	(12, 0.028046926839605055)	(14, 0.03093340448567885)	(16, 0.03393904470757808)	(18, 0.03641102519241734)	(20, 0.03883071130944831)	(22, 0.04022594218826776)	(24, 0.04184663894796557)	(26, 0.04318614632010406)	(28, 0.04494829505829969)	(30, 0.04647983420730795)	(32, 0.047622166094267664)	(34, 0.048563464714816824)	(36, 0.04944046698150334)	(38, 0.050255316106122626)	(40, 0.05117346803928123)	(42, 0.05230294065546841)	(44, 0.05368016855520632)	(46, 0.054633040519450754)	(48, 0.055596628542672305)	(50, 0.06720126313016203)	(52, 0.06800368162636787)	(54, 0.06867622148777117)	(56, 0.06945463601186828)	(58, 0.07019533000836597)	(60, 0.07113662862891515)	(62, 0.07266602456612799)	(64, 0.07420227878108618)	(66, 0.07583283431504292)	(68, 0.08566546139007808)	(70, 0.12246740841398032)	(72, 0.16160674222196936)	(74, 0.4099917013981997)	(76, 0.8258292272895913)	(78, 0.8913454973061928)	(80, 0.9025707834058929)	(82, 0.9088842567128459)	(84, 0.9139769565811267)	(86, 0.9182295174256021)	(88, 0.9224370708223738)	(90, 0.9252112441703675)	(92, 0.9276073549576489)	(94, 0.9304561120761232)	(96, 0.9341955880167747)	(98, 0.9394567443321756)	(100, 0.9464470439241228)	(102, 0.9549813132934915)	(104, 0.964678489383056)	(106, 0.9787203844242991)	(108, 1.007478000295266)	(110, 1.0426232446013075)	(112, 1.0691750668924263)	(114, 1.091180708323097)	(116, 1.1135266917868807)	(118, 1.1421359974016043)	(120, 1.1749935774372127)	(122, 1.2106129001924013)	(124, 1.2512576259654944)	(126, 1.2969131809162833)	(128, 1.3400598921393514)	(130, 1.3777336977216312)	(132, 1.4132501463106397)	(134, 1.4484832623002932)	(136, 1.483305738909944)	(138, 1.5192323982365963)
Tube1_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.003548301448499979)	(2, 0.8369087749872026)	(3, 0.8370596570976003)	(4, 0.8370716590836547)	(5, 0.8370965203404817)	(6, 0.8371033786182269)	(7, 0.837118809743154)	(8, 0.8371368127222355)	(9, 0.8371582448401897)	(10, 0.8371805342428622)	(12, 0.8372135397045116)	(14, 0.8375573108764973)	(16, 0.83808968468648)	(18, 0.8384424573480064)	(20, 0.8388218058357959)	(22, 0.8411737664600916)	(24, 0.8440593868214472)	(26, 0.8489064746179726)	(28, 0.8552010876611259)	(30, 0.8617503142655751)	(32, 0.8714041974768723)	(34, 0.8901131505238253)	(36, 0.9310977896876724)	(38, 0.9548784391273113)	(40, 0.9729877215139056)	(42, 0.9891642555033886)	(44, 1.0094720445497263)	(46, 1.0378104481935087)	(48, 1.063952488389343)	(50, 1.092920139016261)	(52, 1.127900356014055)	(54, 1.1602662832637938)	(56, 1.1823276482011453)	(58, 1.203509010375297)	(60, 1.2244824810052926)	(62, 1.2483381428577713)	(64, 1.2740129628822037)	(66, 1.3035875710895852)	(68, 1.3363204161987)	(70, 1.3745227378097307)	(72, 1.4185413075911764)	(74, 1.4714734952297808)	(76, 1.5370420596141905)	(78, 1.6148843693086208)	(80, 1.7071072015079707)	(82, 1.819427359355348)	(84, 1.9567009321368187)	(86, 2.123318932178843)	(88, 2.32813796790482)	(90, 2.5630382671066174)	(92, 2.838861480972553)	(94, 3.161390852211393)	(96, 3.54145731595248)	(98, 3.9813091013692112)	(100, 4.468165379240769)	(102, 5.0006682105735765)	(104, 5.592901497360065)	(106, 6.256009512294067)	(108, 6.983898246956483)	(110, 7.763385662878392)	(112, 8.57648335481846)	(114, 9.42521322878449)	(116, 10.325441481697986)	(118, 11.291404612231219)	(120, 12.296669960668892)	(122, 13.325766109702215)	(124, 14.377524580260328)	(126, 15.471183270061292)	(128, 16.612818613187486)	(130, 17.797840707257834)	(132, 18.971385902163703)	(134, 20.135705427574997)	(136, 21.307120698598574)	(138, 22.501396752559195)
Tube1_Cort_22YMFCLT3_R2_merged - polya	(1, 4.286423590843174e-06)	(2, 0.010709200699362586)	(3, 0.016195822895641847)	(4, 0.018723955529521153)	(5, 0.021510988148287384)	(6, 0.023972252574149533)	(7, 0.025714255121468202)	(8, 0.027496550050540792)	(9, 0.03151721537875169)	(10, 0.04010806553951958)	(12, 0.04589045096356702)	(14, 0.05132949385798792)	(16, 0.05756238240143298)	(18, 0.06384627938560908)	(20, 0.07000029773498262)	(22, 0.07633820365640334)	(24, 0.08173609688435214)	(26, 0.08887084895131062)	(28, 0.09457307825420928)	(30, 0.10086597672792615)	(32, 0.1072848960552138)	(34, 0.11331632268988923)	(36, 0.12054623336056441)	(38, 0.12801875560648132)	(40, 0.13472743716851)	(42, 0.14078501098708954)	(44, 0.14689102139224564)	(46, 0.15247794590055064)	(48, 0.1587245509994864)	(50, 0.16513275426779694)	(52, 0.17068195824850252)	(54, 0.17631346156215227)	(56, 0.18128099786158042)	(58, 0.1868087697243318)	(60, 0.1929469283064192)	(62, 0.19849270314825213)	(64, 0.20409120100025238)	(66, 0.20924733993767763)	(68, 0.21492599391082667)	(70, 0.2210174304757739)	(72, 0.22684610927460247)	(74, 0.23238331126925366)	(76, 0.23813912086703787)	(78, 0.24412554005400944)	(80, 0.2500275166962414)	(82, 0.25639585622515715)	(84, 0.26278305601787255)	(86, 0.2683678373143821)	(88, 0.27427238581076857)	(90, 0.2804422639274282)	(92, 0.28663571737383753)	(94, 0.2930297754442983)	(96, 0.29957814476402944)	(98, 0.3059829188934673)	(100, 0.3135981790449593)	(102, 0.320897101135447)	(104, 0.3277798114952639)	(106, 0.3341644394338248)	(108, 0.3401984379226548)	(110, 0.34562333561922587)	(112, 0.35099765351742507)	(114, 0.3568563372813895)	(116, 0.36224780087395203)	(118, 0.3682320768491282)	(120, 0.3733547816825449)	(122, 0.3794445036780558)	(124, 0.38616561586849785)	(126, 0.3922549092216497)	(128, 0.3983887813801463)	(130, 0.40415102061331676)	(132, 0.4109107106160764)	(134, 0.41624773662903525)	(136, 0.42128428434827603)	(138, 0.42648243023689153)
Tube1_Cort_22YMFCLT3_R2_merged - polyg	(1, 0.028952219501991134)	(2, 0.03511523934090545)	(3, 0.04073816980737353)	(4, 0.04202409688462648)	(5, 0.046570277745074745)	(6, 0.04810824652946928)	(7, 0.04912755805937179)	(8, 0.05023088349165482)	(9, 0.051401077131955006)	(10, 0.05285031694801908)	(12, 0.055885962135054215)	(14, 0.057663113355817794)	(16, 0.058945182651838984)	(18, 0.0599233445152694)	(20, 0.060735193143375096)	(22, 0.061488746410645334)	(24, 0.0621154215396266)	(26, 0.06265293905791834)	(28, 0.06327318455151335)	(30, 0.06387542706602681)	(32, 0.06448152736177204)	(34, 0.06628739762059427)	(36, 0.066789337823082)	(38, 0.06733242769204183)	(40, 0.06785408544304744)	(42, 0.06837402862461672)	(44, 0.06880610012257371)	(46, 0.06919787923877678)	(48, 0.06958065686543907)	(50, 0.07005644988402267)	(52, 0.07063554571114558)	(54, 0.07113619998655607)	(56, 0.0716107070780624)	(58, 0.07209507294382768)	(60, 0.0727148897950636)	(62, 0.07336342568435818)	(64, 0.07403425097632513)	(66, 0.07471622096962828)	(68, 0.0754457702647898)	(70, 0.07603515350853073)	(72, 0.07669397681444332)	(74, 0.0777162888408594)	(76, 0.08060276648693321)	(78, 0.2996411551908148)	(80, 0.902321742195265)	(82, 0.9159538551412234)	(84, 0.9211382844743483)	(86, 0.9248340388943732)	(88, 0.9277805264707188)	(90, 0.9306828638840787)	(92, 0.9331046932129052)	(94, 0.9349212795307045)	(96, 0.936423242356936)	(98, 0.938309697379266)	(100, 0.9412866185631066)	(102, 0.9457595015801514)	(104, 0.9511603953046139)	(106, 0.9582467107849958)	(108, 0.9657479520689713)	(110, 0.9764554381988977)	(112, 1.0052589188022865)	(114, 1.0410171216818185)	(116, 1.0644492848835219)	(118, 1.0844433077230096)	(120, 1.1034720279698398)	(122, 1.130797978361465)	(124, 1.1622371808308634)	(126, 1.1955109725971425)	(128, 1.234509711711352)	(130, 1.2807932277181993)	(132, 1.3233098346734136)	(134, 1.3607024508681342)	(136, 1.3952295928923757)	(138, 1.4279251461162503)
Tube2_Cort_22YMFCLT3_R1_merged - nextera_transposase_sequence	(1, 0.002632862614052347)	(2, 0.4832366440929974)	(3, 0.4834115380188859)	(4, 0.4834606973926492)	(5, 0.48352498272757044)	(6, 0.483539163316156)	(7, 0.4835514531595968)	(8, 0.48357508747390604)	(9, 0.4836270829653864)	(10, 0.4836734062214326)	(12, 0.4837367461837815)	(14, 0.4840397380932262)	(16, 0.48439756161186853)	(18, 0.48465233952012243)	(20, 0.4848442501523137)	(22, 0.48601509408319477)	(24, 0.4878585705993176)	(26, 0.49064600162895255)	(28, 0.4937704579806377)	(30, 0.4972848805184257)	(32, 0.5006787680532364)	(34, 0.5121177761789217)	(36, 0.5371611683073072)	(38, 0.5527290911428213)	(40, 0.5641099588553058)	(42, 0.574107746494412)	(44, 0.5878785160698494)	(46, 0.6061747841492255)	(48, 0.6230983712535192)	(50, 0.6421400656062095)	(52, 0.6657077311491244)	(54, 0.6879121694426807)	(56, 0.7039764128786896)	(58, 0.7191813126464135)	(60, 0.7345568521634502)	(62, 0.7518548068064027)	(64, 0.771217927833699)	(66, 0.7933462636351796)	(68, 0.8182979546240451)	(70, 0.847371942714733)	(72, 0.8817026749940882)	(74, 0.9235888248718297)	(76, 0.9756892527077503)	(78, 1.0386373581253383)	(80, 1.1133251001466253)	(82, 1.2047133213451269)	(84, 1.316659614502401)	(86, 1.454731751383425)	(88, 1.6217634862738803)	(90, 1.8143651858155316)	(92, 2.042852755518088)	(94, 2.311652429765388)	(96, 2.62990690670483)	(98, 2.998782303404432)	(100, 3.410871625759671)	(102, 3.863942376440892)	(104, 4.371805030671574)	(106, 4.949539699039885)	(108, 5.59185891274856)	(110, 6.283190022099218)	(112, 7.009228122013036)	(114, 7.773378917181978)	(116, 8.59224834952602)	(118, 9.474450653924608)	(120, 10.39922261257076)	(122, 11.347563182132397)	(124, 12.32518666712322)	(126, 13.34518458692541)	(128, 14.41350758919576)	(130, 15.525632066175476)	(132, 16.632218077939957)	(134, 17.735500012564003)	(136, 18.856995967853628)	(138, 20.00665504476046)
Tube2_Cort_22YMFCLT3_R1_merged - polya	(1, 0.0)	(2, 0.0006239458977646495)	(3, 0.00249861970877571)	(4, 0.0047892574516298705)	(5, 0.009294903131548536)	(6, 0.013787313595454013)	(7, 0.018122792212345955)	(8, 0.023990719769050775)	(9, 0.0325926648050516)	(10, 0.05409516396362274)	(12, 0.07153256106099995)	(14, 0.08417928264788874)	(16, 0.0955081548688928)	(18, 0.10781123352572484)	(20, 0.11902335223404112)	(22, 0.12996934856323505)	(24, 0.14058351911952688)	(26, 0.1517559321798036)	(28, 0.16231338038175316)	(30, 0.17564927857390017)	(32, 0.1893623804224231)	(34, 0.19969246652071754)	(36, 0.20954466678367858)	(38, 0.2197045858189463)	(40, 0.23193061661113012)	(42, 0.24400538779173464)	(44, 0.2552293236572055)	(46, 0.26419240101585195)	(48, 0.27336582377185087)	(50, 0.2830989070906932)	(52, 0.292684984974532)	(54, 0.30225357346578174)	(56, 0.31190110056682463)	(58, 0.32224064039084277)	(60, 0.33350948145350123)	(62, 0.34434108770143834)	(64, 0.35572951839450173)	(66, 0.3682698855669988)	(68, 0.38139591104807957)	(70, 0.39355812919162836)	(72, 0.40462796932780287)	(74, 0.4164796325813279)	(76, 0.4288276164353475)	(78, 0.43837918822029476)	(80, 0.4487040747694411)	(82, 0.45959476680315137)	(84, 0.47163172308086104)	(86, 0.48318133979751365)	(88, 0.49598404785884365)	(90, 0.5065835651402637)	(92, 0.5165964787405277)	(94, 0.5267696329918087)	(96, 0.5364181054654238)	(98, 0.5454795015715969)	(100, 0.5537382763638271)	(102, 0.5618273567793168)	(104, 0.5698389166438722)	(106, 0.5782820390877148)	(108, 0.5861499023212697)	(110, 0.5941534265189599)	(112, 0.6017395687259484)	(114, 0.609570562429181)	(116, 0.6172791303842915)	(118, 0.6244252016588414)	(120, 0.6327931669831806)	(122, 0.6410703765405721)	(124, 0.6486621909829948)	(126, 0.6573775807276802)	(128, 0.6662607741039612)	(130, 0.6744911877190203)	(132, 0.6833587824478573)	(134, 0.6923369857676618)	(136, 0.7039428521523704)	(138, 0.7114680178284409)
Tube2_Cort_22YMFCLT3_R1_merged - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0077057318373934215)	(4, 0.009143643519969227)	(5, 0.011791632095179505)	(6, 0.012959167222057297)	(7, 0.01428268882337625)	(8, 0.015250750337483828)	(9, 0.01630767687339425)	(10, 0.018135554742072964)	(12, 0.02086437267222093)	(14, 0.023542140483460886)	(16, 0.02615231415577634)	(18, 0.02856254152903539)	(20, 0.03063668895281666)	(22, 0.03212612344058667)	(24, 0.03365526357639625)	(26, 0.03502936261033703)	(28, 0.03667903774912387)	(30, 0.038373145398812133)	(32, 0.03953453560396951)	(34, 0.04063069510163332)	(36, 0.0416630419506621)	(38, 0.042646702112213795)	(40, 0.04372300878585782)	(42, 0.04487919944186716)	(44, 0.04628118696669288)	(46, 0.047402398837524506)	(48, 0.048430964196263804)	(50, 0.05331854039542023)	(52, 0.05427478475237317)	(54, 0.055144054832668016)	(56, 0.056091790836469625)	(58, 0.05703338191855082)	(60, 0.05800711566809262)	(62, 0.05928242326822067)	(64, 0.0606777931850398)	(66, 0.06205094684640821)	(68, 0.06450371598542395)	(70, 0.07640595667157082)	(72, 0.08869674548496204)	(74, 0.18849547377355919)	(76, 0.469152483509819)	(78, 0.5406387213147728)	(80, 0.5505429170692142)	(82, 0.5553340652659888)	(84, 0.5589936024936357)	(86, 0.5620740990207056)	(88, 0.5652023368626802)	(90, 0.5673785845242775)	(92, 0.5693194344153545)	(94, 0.5711874906183589)	(96, 0.5735064895383842)	(98, 0.5766853048129806)	(100, 0.5807589152273259)	(102, 0.5851652967871457)	(104, 0.5898491451969562)	(106, 0.5956017372998317)	(108, 0.6092344824797031)	(110, 0.631037137430002)	(112, 0.6481450721859081)	(114, 0.6614559180048872)	(116, 0.6742212838496084)	(118, 0.6903616297776931)	(120, 0.7097474397467264)	(122, 0.729825735125021)	(124, 0.7524059590160947)	(126, 0.7787690912555099)	(128, 0.8048859539398222)	(130, 0.8273390252199121)	(132, 0.8483853821123144)	(134, 0.8697938166999346)	(136, 0.8918800834219447)	(138, 0.9156869282256693)
Tube2_Cort_22YMFCLT3_R2_merged - nextera_transposase_sequence	(1, 0.002638534849486571)	(2, 0.48849291559537833)	(3, 0.4886110871669247)	(4, 0.48863850297152345)	(5, 0.48866970026641166)	(6, 0.48868104473728013)	(7, 0.4886980614435828)	(8, 0.4887302041110434)	(9, 0.4887500569350632)	(10, 0.4887845630339547)	(12, 0.48883419509400416)	(14, 0.48908282808053766)	(16, 0.4894250529517359)	(18, 0.48967037713426603)	(20, 0.4898580335898816)	(22, 0.4910515664624996)	(24, 0.49284777435000393)	(26, 0.49563000583049077)	(28, 0.4987804599279161)	(30, 0.5022764477005429)	(32, 0.5057525826491499)	(34, 0.5164173306380635)	(36, 0.5410197064614382)	(38, 0.5556937795297758)	(40, 0.5665504381508808)	(42, 0.5761246988775648)	(44, 0.5892105460243198)	(46, 0.6066677959457167)	(48, 0.6224990050426362)	(50, 0.6400120319458031)	(52, 0.6618269767395427)	(54, 0.681909526294413)	(56, 0.6959029311106439)	(58, 0.7095541110556766)	(60, 0.7236151100108319)	(62, 0.7402503584805527)	(64, 0.7593109602846903)	(66, 0.7812804734940125)	(68, 0.8060931947147396)	(70, 0.8350064694681245)	(72, 0.8691278017226995)	(74, 0.9107629551824766)	(76, 0.9626010421295644)	(78, 1.0253525100520993)	(80, 1.0997140985359186)	(82, 1.1906778474494255)	(84, 1.302071570338149)	(86, 1.4393495942583816)	(88, 1.6055990333452004)	(90, 1.7971820939401222)	(92, 2.0242889470007306)	(94, 2.2914105849320734)	(96, 2.6072581433022597)	(98, 2.9736590272936816)	(100, 3.383078144818259)	(102, 3.832828747025314)	(104, 4.3368560247298875)	(106, 4.9095282229731545)	(108, 5.546385073958671)	(110, 6.2318614909686385)	(112, 6.952907078327767)	(114, 7.711829963171499)	(116, 8.525322116323897)	(118, 9.40141353241468)	(120, 10.320376176603613)	(122, 11.26316315498886)	(124, 12.234801013537716)	(126, 13.248185106823602)	(128, 14.309711352984895)	(130, 15.41563134977214)	(132, 16.515826170261107)	(134, 17.61305441161798)	(136, 18.72755839136235)	(138, 19.86997780510997)
Tube2_Cort_22YMFCLT3_R2_merged - polya	(1, 7.562980578965449e-06)	(2, 0.013311791191551561)	(3, 0.020005029003935984)	(4, 0.023504798266852246)	(5, 0.026974315607452646)	(6, 0.03005339407566395)	(7, 0.03211808777372152)	(8, 0.03415536566718034)	(9, 0.03897203892340896)	(10, 0.048993460876824366)	(12, 0.05624210507547656)	(14, 0.06282284355174887)	(16, 0.07066281829441892)	(18, 0.07894050053809662)	(20, 0.08661928925717746)	(22, 0.09361835509672381)	(24, 0.10030875679139112)	(26, 0.10858265754477933)	(28, 0.11555714369744402)	(30, 0.12255242804670088)	(32, 0.12986583026656046)	(34, 0.13715748891725554)	(36, 0.14503716930796517)	(38, 0.1530614917022475)	(40, 0.16091564703350314)	(42, 0.16790005959817772)	(44, 0.17517659228771484)	(46, 0.18236142383773202)	(48, 0.18958785178093351)	(50, 0.19675046707549998)	(52, 0.20358125659716433)	(54, 0.21079681275578355)	(56, 0.21716578777584483)	(58, 0.2239062942168478)	(60, 0.230548009224038)	(62, 0.2369874145007409)	(64, 0.24393873902538252)	(66, 0.2501933239641869)	(68, 0.25696786381779524)	(70, 0.2642070542907238)	(72, 0.27095086953573)	(74, 0.27748575744224235)	(76, 0.28417852256834053)	(78, 0.29101025746257725)	(80, 0.297635428449751)	(82, 0.30479662568545896)	(84, 0.3121199543173284)	(86, 0.31885904269947285)	(88, 0.3256699793971174)	(90, 0.3330008710095658)	(92, 0.34012236259723416)	(94, 0.3472074573408662)	(96, 0.3547047345260519)	(98, 0.3621556884551914)	(100, 0.3704002826588362)	(102, 0.37840900640567443)	(104, 0.38601027457382087)	(106, 0.3931709991232426)	(108, 0.4001331954324665)	(110, 0.40635091084094843)	(112, 0.41277660821535195)	(114, 0.41957336432441095)	(116, 0.4257716995951593)	(118, 0.43237418164059616)	(120, 0.4386576004428579)	(122, 0.4455900175160521)	(124, 0.4527956472626614)	(126, 0.4596609428832173)	(128, 0.4664411549722598)	(130, 0.4728054031294593)	(132, 0.47984322924447276)	(134, 0.4862211853039716)	(136, 0.4920739868995185)	(138, 0.49787857449387446)
