"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000020706",1001,1266,955,835,752,762
"ENSMUSG00000020707",418,369,262,280,287,262
"ENSMUSG00000020708",734,784,559,490,415,448
"ENSMUSG00000020709",413,532,210,239,260,143
"ENSMUSG00000020712",578,611,346,345,394,316
"ENSMUSG00000020713",72,41,28,40,28,18
"ENSMUSG00000020715",1237,934,916,487,774,1432
"ENSMUSG00000020716",1239,1847,1407,1879,1453,1238
"ENSMUSG00000020717",691,992,215,490,388,271
"ENSMUSG00000020718",521,550,227,248,314,221
"ENSMUSG00000020719",850,959,872,637,733,665
"ENSMUSG00000020720",441,600,90,522,347,216
"ENSMUSG00000020721",1431,1679,440,935,817,630
"ENSMUSG00000020722",217,245,182,143,120,155
"ENSMUSG00000020723",161,149,44,65,70,89
"ENSMUSG00000020728",400,492,60,207,166,159
"ENSMUSG00000020732",841,687,843,875,629,818
"ENSMUSG00000020733",2,1,4,3,0,0
"ENSMUSG00000020734",189,138,92,78,122,166
"ENSMUSG00000020736",50,79,124,70,76,42
"ENSMUSG00000020737",141,217,176,168,221,180
"ENSMUSG00000020738",168,191,117,129,115,76
"ENSMUSG00000020739",48,43,52,36,39,39
"ENSMUSG00000020740",1057,1305,861,705,693,751
"ENSMUSG00000020741",1236,1722,383,766,605,506
"ENSMUSG00000020743",409,559,370,454,347,374
"ENSMUSG00000020744",582,700,417,447,435,351
"ENSMUSG00000020745",630,666,386,279,296,322
"ENSMUSG00000020747",3034,3772,779,1991,1388,1275
"ENSMUSG00000020752",734,783,822,720,660,838
"ENSMUSG00000020755",152,148,145,83,135,143
"ENSMUSG00000020758",459,379,256,315,305,287
"ENSMUSG00000020766",164,193,140,68,137,157
"ENSMUSG00000020770",830,742,504,608,526,493
"ENSMUSG00000020773",30,56,32,58,57,15
"ENSMUSG00000020774",115,165,91,88,90,121
"ENSMUSG00000020775",21129,20655,41232,32005,29875,37694
"ENSMUSG00000020776",1212,1624,776,1283,1003,785
"ENSMUSG00000020777",1920,1959,2167,1496,1171,1762
"ENSMUSG00000020778",149,274,263,306,225,190
"ENSMUSG00000020780",351,470,485,375,445,372
"ENSMUSG00000020781",313,385,154,191,203,121
"ENSMUSG00000020782",19,24,24,9,7,18
"ENSMUSG00000020783",5671,5644,6650,4400,4664,6881
"ENSMUSG00000020785",843,1037,726,757,529,759
"ENSMUSG00000020787",828,886,617,519,471,547
"ENSMUSG00000020788",1138,1252,917,885,779,750
"ENSMUSG00000020790",1293,1411,317,868,635,464
"ENSMUSG00000020792",3010,3038,1949,2041,2111,1746
"ENSMUSG00000020793",1664,1522,2440,1977,2137,2085
"ENSMUSG00000020794",28,53,14,7,14,11
"ENSMUSG00000020798",50,89,91,44,85,89
"ENSMUSG00000020799",67,85,276,102,137,248
"ENSMUSG00000020801",0,0,7,4,0,0
"ENSMUSG00000020802",2037,2108,2409,1652,1677,2242
"ENSMUSG00000020803",5,2,0,12,2,0
"ENSMUSG00000020804",226,260,295,236,232,227
"ENSMUSG00000020805",10,9,8,9,17,4
"ENSMUSG00000020806",80,97,112,69,67,116
"ENSMUSG00000020807",11,4,3,7,5,0
"ENSMUSG00000020808",8,2,0,0,0,0
"ENSMUSG00000020810",469,543,667,540,492,622
"ENSMUSG00000020811",0,0,0,0,0,0
"ENSMUSG00000020814",29,27,42,18,25,41
"ENSMUSG00000020817",109,91,97,53,65,115
"ENSMUSG00000020818",12,17,8,13,8,1
"ENSMUSG00000020821",332,401,148,187,190,62
"ENSMUSG00000020823",7,3,0,14,5,7
"ENSMUSG00000020826",173,187,75,104,80,126
"ENSMUSG00000020827",142,232,235,204,182,88
"ENSMUSG00000020828",4784,5574,4928,3887,3304,4622
"ENSMUSG00000020829",0,5,0,0,0,3
"ENSMUSG00000020830",23,68,19,18,20,9
"ENSMUSG00000020831",0,0,0,3,0,0
"ENSMUSG00000020832",0,0,0,0,0,0
"ENSMUSG00000020834",0,0,0,0,0,0
"ENSMUSG00000020836",898,1097,166,518,333,307
"ENSMUSG00000020838",3,0,1,1,0,1
"ENSMUSG00000020839",192,308,358,385,391,310
"ENSMUSG00000020840",271,312,242,284,254,126
"ENSMUSG00000020841",337,369,441,381,406,448
"ENSMUSG00000020843",116,186,49,66,99,104
"ENSMUSG00000020844",169,215,106,137,122,125
"ENSMUSG00000020846",23,26,14,50,9,12
"ENSMUSG00000020847",139,259,99,166,127,69
"ENSMUSG00000020848",2093,2270,2603,2532,2299,2390
"ENSMUSG00000020849",912,954,764,687,646,957
"ENSMUSG00000020850",215,327,222,221,151,234
"ENSMUSG00000020857",0,0,0,0,0,0
"ENSMUSG00000020859",3278,4406,2032,2627,2227,1590
"ENSMUSG00000020863",263,264,256,154,207,171
"ENSMUSG00000020864",9,4,10,16,16,13
"ENSMUSG00000020865",27,9,11,36,23,21
"ENSMUSG00000020866",3388,3736,3000,2561,2296,2076
"ENSMUSG00000020867",337,298,383,241,235,264
"ENSMUSG00000020868",1289,1029,1507,1631,1609,1803
"ENSMUSG00000020869",0,11,1,7,5,2
"ENSMUSG00000020870",179,248,95,98,181,62
"ENSMUSG00000020871",231,224,267,259,233,252
"ENSMUSG00000020872",0,1,0,0,4,0
"ENSMUSG00000020873",395,456,317,266,293,294
"ENSMUSG00000020875",0,0,0,0,0,0
"ENSMUSG00000020876",127,65,6,17,6,18
"ENSMUSG00000020877",19,16,0,19,0,6
"ENSMUSG00000020878",6,8,22,1,0,0
"ENSMUSG00000020882",12,36,4,27,14,19
"ENSMUSG00000020883",419,625,359,321,336,287
"ENSMUSG00000020884",162,70,65,41,57,64
"ENSMUSG00000020886",4441,4363,7022,5931,5062,5599
"ENSMUSG00000020888",206,196,131,95,102,53
"ENSMUSG00000020889",0,0,0,0,0,0
"ENSMUSG00000020890",935,803,1110,749,856,1133
"ENSMUSG00000020891",248,176,185,226,173,132
"ENSMUSG00000020892",727,855,902,653,707,916
"ENSMUSG00000020893",1251,1239,1404,1291,1033,1198
"ENSMUSG00000020894",12,3,1,5,13,14
"ENSMUSG00000020895",16,8,10,16,3,6
"ENSMUSG00000020897",6,2,14,10,0,0
"ENSMUSG00000020898",46,30,17,41,20,25
"ENSMUSG00000020899",2,4,17,5,11,10
"ENSMUSG00000020900",49,78,24,31,39,22
"ENSMUSG00000020901",450,974,341,676,956,252
"ENSMUSG00000020902",357,539,150,247,223,164
"ENSMUSG00000020903",70,175,14,51,37,57
"ENSMUSG00000020904",0,0,8,0,7,10
"ENSMUSG00000020905",1,7,0,3,1,5
"ENSMUSG00000020907",126,238,132,122,94,33
"ENSMUSG00000020908",7,4,4,3,2,0
"ENSMUSG00000020910",0,0,0,9,0,0
"ENSMUSG00000020911",0,0,0,0,0,0
"ENSMUSG00000020912",0,0,0,0,0,0
"ENSMUSG00000020913",223,141,129,122,131,178
"ENSMUSG00000020914",2389,2568,2825,2085,1852,2517
"ENSMUSG00000020916",7,0,0,0,0,0
"ENSMUSG00000020917",999,1164,1818,1482,1482,1408
"ENSMUSG00000020918",1388,1233,1185,942,909,914
"ENSMUSG00000020919",223,243,294,213,217,176
"ENSMUSG00000020921",224,158,342,165,230,308
"ENSMUSG00000020922",863,416,1537,698,777,924
"ENSMUSG00000020923",3379,3867,5232,4295,4121,4255
"ENSMUSG00000020925",4,0,13,0,3,0
"ENSMUSG00000020926",6,1,0,0,1,0
"ENSMUSG00000020928",6,1,0,0,0,0
"ENSMUSG00000020929",8,7,15,0,8,6
"ENSMUSG00000020930",22,50,36,32,23,56
"ENSMUSG00000020932",88,78,50,81,52,99
"ENSMUSG00000020935",72,89,49,46,29,30
"ENSMUSG00000020936",13,12,13,7,12,0
"ENSMUSG00000020937",4,5,0,0,0,5
"ENSMUSG00000020940",9,20,5,8,23,24
"ENSMUSG00000020941",1726,1681,2286,1774,1698,1898
"ENSMUSG00000020945",0,0,0,0,0,0
"ENSMUSG00000020946",0,0,0,0,0,0
"ENSMUSG00000020948",746,627,478,654,581,598
"ENSMUSG00000020949",290,329,180,216,217,201
"ENSMUSG00000020950",0,0,0,0,0,0
"ENSMUSG00000020952",974,874,852,893,796,772
"ENSMUSG00000020953",1156,1447,873,825,765,700
"ENSMUSG00000020954",1529,2002,418,998,870,434
"ENSMUSG00000020955",175,300,110,132,144,94
"ENSMUSG00000020956",0,0,0,0,0,0
"ENSMUSG00000020961",198,219,81,200,168,138
"ENSMUSG00000020962",1233,1129,1970,1676,1242,1573
"ENSMUSG00000020963",135,240,43,102,72,71
"ENSMUSG00000020964",2086,2076,3001,2660,2390,2380
"ENSMUSG00000020973",0,2,0,0,0,0
"ENSMUSG00000020974",104,158,106,88,109,113
"ENSMUSG00000020978",564,474,558,508,453,504
"ENSMUSG00000020982",45625,18413,40232,26010,30771,33707
"ENSMUSG00000020986",544,668,353,411,369,369
"ENSMUSG00000020988",152,103,104,44,85,41
"ENSMUSG00000020990",381,425,523,332,391,327
"ENSMUSG00000020993",3,0,0,0,0,0
"ENSMUSG00000020994",0,0,0,0,0,0
"ENSMUSG00000021000",2204,2682,1561,1406,1459,1097
"ENSMUSG00000021003",1023,1197,1376,1081,831,1033
"ENSMUSG00000021007",32,21,23,20,23,24
"ENSMUSG00000021009",309,413,353,480,455,392
"ENSMUSG00000021010",7,15,2,15,16,3
"ENSMUSG00000021012",301,309,134,240,209,263
"ENSMUSG00000021013",59,88,53,73,85,76
"ENSMUSG00000021018",1113,1127,2010,1395,1312,1513
"ENSMUSG00000021022",89,122,22,77,50,49
"ENSMUSG00000021023",71,156,24,71,36,14
"ENSMUSG00000021024",17,37,13,6,11,5
"ENSMUSG00000021025",0,0,0,0,0,0
"ENSMUSG00000021027",2197,2884,1489,1952,1772,1758
"ENSMUSG00000021028",0,0,0,0,0,0
"ENSMUSG00000021032",61,35,19,15,42,22
"ENSMUSG00000021033",20,12,14,16,18,8
"ENSMUSG00000021036",1665,1715,2112,1818,1572,1696
"ENSMUSG00000021037",1030,1077,1096,1104,833,1047
"ENSMUSG00000021038",161,171,205,128,148,143
"ENSMUSG00000021039",1,0,0,0,0,0
"ENSMUSG00000021040",0,0,0,0,0,0
"ENSMUSG00000021044",60,86,46,30,24,25
"ENSMUSG00000021047",27,80,27,15,43,0
"ENSMUSG00000021048",668,637,603,584,478,695
"ENSMUSG00000021051",438,542,145,317,195,138
"ENSMUSG00000021054",17,8,0,1,0,6
"ENSMUSG00000021055",13,1,2,4,0,0
"ENSMUSG00000021056",172,165,264,213,145,133
"ENSMUSG00000021057",641,578,347,321,344,347
"ENSMUSG00000021061",1034,854,679,108,173,520
"ENSMUSG00000021062",36,59,17,37,17,37
"ENSMUSG00000021065",253,420,63,177,148,60
"ENSMUSG00000021066",1140,1523,1096,960,935,821
"ENSMUSG00000021067",847,992,738,634,508,741
"ENSMUSG00000021068",2657,3481,1582,1670,1508,1585
"ENSMUSG00000021069",29,52,28,33,30,7
"ENSMUSG00000021070",1,5,0,0,0,0
"ENSMUSG00000021071",0,8,0,5,1,1
"ENSMUSG00000021072",0,0,0,6,5,0
"ENSMUSG00000021076",2298,2396,2438,1981,1914,1763
"ENSMUSG00000021078",30,31,4,16,6,4
"ENSMUSG00000021079",172,222,110,129,71,159
"ENSMUSG00000021081",0,0,0,0,0,0
"ENSMUSG00000021086",31,21,0,9,7,0
"ENSMUSG00000021087",100,145,8,82,69,27
"ENSMUSG00000021090",130,138,99,77,89,70
"ENSMUSG00000021091",0,0,0,0,0,0
"ENSMUSG00000021094",0,0,2,0,0,0
"ENSMUSG00000021095",0,0,0,0,0,0
"ENSMUSG00000021096",44,52,18,43,21,6
"ENSMUSG00000021097",1154,1344,820,921,860,786
"ENSMUSG00000021098",0,0,0,4,0,13
"ENSMUSG00000021099",10,6,0,7,0,0
"ENSMUSG00000021102",341,452,322,367,279,202
"ENSMUSG00000021103",504,562,380,413,325,283
"ENSMUSG00000021108",1317,1009,933,810,635,773
"ENSMUSG00000021109",256,205,243,200,216,173
"ENSMUSG00000021111",1511,1620,1275,1368,1276,1149
"ENSMUSG00000021112",2328,2528,3278,2821,2335,2619
"ENSMUSG00000021113",0,6,0,4,4,0
"ENSMUSG00000021114",159,217,250,159,179,123
"ENSMUSG00000021115",429,558,201,248,229,211
"ENSMUSG00000021116",2,12,1,0,2,0
"ENSMUSG00000021118",11,6,0,0,1,4
"ENSMUSG00000021120",231,250,120,108,102,81
"ENSMUSG00000021123",626,726,496,512,432,582
"ENSMUSG00000021124",218,228,171,110,166,157
"ENSMUSG00000021125",9,29,5,18,6,9
"ENSMUSG00000021127",10,15,11,79,47,22
"ENSMUSG00000021130",447,413,392,356,368,326
"ENSMUSG00000021131",782,581,1003,866,761,726
"ENSMUSG00000021133",183,162,49,85,99,64
"ENSMUSG00000021134",13,14,14,28,21,19
"ENSMUSG00000021135",5,19,3,19,16,0
"ENSMUSG00000021136",263,438,245,385,352,455
"ENSMUSG00000021139",29,36,3,2,13,20
"ENSMUSG00000021140",571,737,606,659,618,539
"ENSMUSG00000021143",688,904,460,612,462,295
"ENSMUSG00000021144",349,409,555,465,345,464
"ENSMUSG00000021147",862,1018,766,793,795,828
"ENSMUSG00000021148",294,351,606,417,447,400
"ENSMUSG00000021149",0,0,0,0,0,0
"ENSMUSG00000021156",820,931,292,391,401,251
"ENSMUSG00000021171",2604,3315,1314,2028,1662,1453
"ENSMUSG00000021175",3,5,5,8,13,16
"ENSMUSG00000021176",155,285,22,104,50,44
"ENSMUSG00000021177",424,395,550,434,319,508
"ENSMUSG00000021178",46,39,41,22,30,18
"ENSMUSG00000021179",104,97,51,51,37,54
"ENSMUSG00000021180",599,987,337,481,378,315
"ENSMUSG00000021182",3246,3060,2567,2040,1793,2190
"ENSMUSG00000021185",233,337,214,359,194,124
"ENSMUSG00000021186",70,115,9,15,20,35
"ENSMUSG00000021187",1,3,0,1,7,5
"ENSMUSG00000021188",1250,1406,573,825,806,750
"ENSMUSG00000021189",1568,1776,1475,1353,1342,1008
"ENSMUSG00000021190",3199,3372,2900,2115,1862,2578
"ENSMUSG00000021192",440,542,235,335,175,158
"ENSMUSG00000021193",1588,1635,1985,1653,1593,1508
"ENSMUSG00000021194",4,0,0,0,1,0
"ENSMUSG00000021196",2418,3015,1072,1118,1307,754
"ENSMUSG00000021198",19,20,16,10,4,7
"ENSMUSG00000021200",28,20,3,0,0,0
"ENSMUSG00000021203",340,333,95,123,71,54
"ENSMUSG00000021207",0,0,0,0,0,0
"ENSMUSG00000021208",1131,992,1250,1025,977,1134
"ENSMUSG00000021209",12,52,23,7,6,9
"ENSMUSG00000021210",0,0,0,0,0,0
"ENSMUSG00000021211",0,0,0,0,0,0
"ENSMUSG00000021213",18,30,0,5,8,3
"ENSMUSG00000021214",6,7,9,0,5,0
"ENSMUSG00000021215",0,6,1,0,0,0
"ENSMUSG00000021216",5,0,0,0,1,0
"ENSMUSG00000021217",0,0,0,5,0,0
"ENSMUSG00000021218",1438,1429,1118,1108,991,966
"ENSMUSG00000021219",21,21,11,9,16,22
"ENSMUSG00000021221",77,79,38,7,16,19
"ENSMUSG00000021222",449,549,194,336,274,180
"ENSMUSG00000021223",1813,2574,487,997,761,627
"ENSMUSG00000021224",824,991,546,603,506,590
"ENSMUSG00000021226",0,0,0,0,0,0
"ENSMUSG00000021228",19,5,28,15,36,15
"ENSMUSG00000021234",128,162,165,81,102,105
"ENSMUSG00000021235",385,383,463,295,319,508
"ENSMUSG00000021236",445,459,430,486,423,417
"ENSMUSG00000021238",468,645,138,364,277,169
"ENSMUSG00000021239",9,26,5,10,24,2
"ENSMUSG00000021240",4,1,0,0,0,0
"ENSMUSG00000021241",12,68,6,19,10,3
"ENSMUSG00000021242",672,1070,1107,786,872,1605
"ENSMUSG00000021243",678,947,804,701,464,636
"ENSMUSG00000021244",1123,1653,853,1012,859,769
"ENSMUSG00000021245",777,870,713,869,722,883
"ENSMUSG00000021248",58,88,93,97,55,66
"ENSMUSG00000021250",22,15,39,13,27,9
"ENSMUSG00000021252",54,97,34,46,29,43
"ENSMUSG00000021253",39,45,11,50,20,0
"ENSMUSG00000021254",209,299,247,226,203,201
"ENSMUSG00000021255",0,0,0,0,0,0
"ENSMUSG00000021256",14,10,11,2,7,8
"ENSMUSG00000021257",8,4,0,4,9,0
"ENSMUSG00000021258",399,622,151,270,233,164
"ENSMUSG00000021259",46,180,120,133,178,103
"ENSMUSG00000021260",2,5,0,1,0,5
"ENSMUSG00000021262",162,251,161,169,147,94
"ENSMUSG00000021263",286,243,133,168,123,85
"ENSMUSG00000021264",107,130,67,45,63,20
"ENSMUSG00000021265",783,805,626,542,551,612
"ENSMUSG00000021266",219,280,245,200,164,159
"ENSMUSG00000021270",3636,3839,4586,3853,3234,3601
"ENSMUSG00000021271",57,42,7,57,26,8
"ENSMUSG00000021273",418,356,129,122,156,370
"ENSMUSG00000021275",450,518,325,335,351,247
"ENSMUSG00000021276",130,122,140,118,68,71
"ENSMUSG00000021277",1283,1406,330,855,490,478
"ENSMUSG00000021278",682,659,602,618,502,639
"ENSMUSG00000021279",1922,2044,3071,2544,2141,2568
"ENSMUSG00000021280",5,10,0,5,6,0
"ENSMUSG00000021281",78,118,49,76,49,73
"ENSMUSG00000021282",12,21,2,0,0,6
"ENSMUSG00000021285",1270,1713,805,1127,1091,789
"ENSMUSG00000021286",1045,1277,473,654,559,459
"ENSMUSG00000021287",734,969,1031,853,742,635
"ENSMUSG00000021288",531,693,310,318,429,255
"ENSMUSG00000021290",0,0,0,0,0,0
"ENSMUSG00000021294",22,38,40,30,23,25
"ENSMUSG00000021298",80,124,55,66,76,48
"ENSMUSG00000021301",19,43,64,48,45,31
"ENSMUSG00000021302",9,10,2,38,12,0
"ENSMUSG00000021303",568,571,455,355,377,315
"ENSMUSG00000021306",48,60,13,52,41,23
"ENSMUSG00000021311",1373,1671,1188,1104,993,1046
"ENSMUSG00000021313",8,11,0,19,28,1
"ENSMUSG00000021314",7,12,3,5,0,6
"ENSMUSG00000021318",996,1699,737,1616,1074,1032
"ENSMUSG00000021319",336,428,132,274,78,107
"ENSMUSG00000021322",266,302,150,143,194,99
"ENSMUSG00000021326",70,119,47,45,59,50
"ENSMUSG00000021327",0,3,0,0,0,0
"ENSMUSG00000021335",131,190,71,161,115,90
"ENSMUSG00000021336",293,317,209,349,402,208
"ENSMUSG00000021337",43,56,16,55,52,18
"ENSMUSG00000021338",422,677,221,426,265,330
"ENSMUSG00000021339",0,0,0,0,0,0
"ENSMUSG00000021340",0,0,0,0,0,0
"ENSMUSG00000021342",0,0,0,0,0,0
"ENSMUSG00000021345",0,0,0,0,0,0
"ENSMUSG00000021346",0,0,0,0,0,0
"ENSMUSG00000021347",0,4,0,0,0,0
"ENSMUSG00000021348",0,0,0,0,0,0
"ENSMUSG00000021356",240,305,53,146,91,82
"ENSMUSG00000021357",380,494,140,253,226,116
"ENSMUSG00000021359",143,177,73,137,85,100
"ENSMUSG00000021360",35,47,65,64,40,26
"ENSMUSG00000021361",0,0,0,0,0,0
"ENSMUSG00000021362",67,121,44,51,44,70
"ENSMUSG00000021363",21,23,2,29,10,0
"ENSMUSG00000021364",2278,3107,1867,1881,2009,2052
"ENSMUSG00000021365",1639,1838,691,1046,1131,1046
"ENSMUSG00000021366",4,10,8,28,17,2
"ENSMUSG00000021367",0,0,0,0,0,0
"ENSMUSG00000021368",4,7,3,9,6,16
"ENSMUSG00000021371",4,8,10,1,1,0
"ENSMUSG00000021373",677,926,956,873,674,631
"ENSMUSG00000021374",398,590,75,240,188,135
"ENSMUSG00000021375",695,956,406,510,382,361
"ENSMUSG00000021376",40,52,13,32,15,31
"ENSMUSG00000021377",194,195,183,127,206,120
"ENSMUSG00000021379",0,0,0,0,0,0
"ENSMUSG00000021381",552,622,768,548,531,740
"ENSMUSG00000021384",195,257,185,129,159,177
"ENSMUSG00000021385",1218,1849,3342,3209,2864,4729
"ENSMUSG00000021388",199,242,98,142,95,81
"ENSMUSG00000021390",3,2,0,0,3,0
"ENSMUSG00000021391",269,429,839,873,695,1000
"ENSMUSG00000021392",0,0,0,0,0,0
"ENSMUSG00000021395",8,12,0,0,0,0
"ENSMUSG00000021396",0,0,0,0,3,0
"ENSMUSG00000021400",95,48,172,91,108,120
"ENSMUSG00000021403",0,0,0,0,0,0
"ENSMUSG00000021404",0,0,0,0,0,0
"ENSMUSG00000021408",247,188,84,46,49,49
"ENSMUSG00000021411",0,0,0,0,0,0
"ENSMUSG00000021413",5,0,0,1,0,0
"ENSMUSG00000021414",0,0,0,0,0,0
"ENSMUSG00000021415",1,0,0,0,0,0
"ENSMUSG00000021416",0,0,0,0,0,1
"ENSMUSG00000021417",1,4,0,0,4,0
"ENSMUSG00000021418",339,578,84,219,212,89
"ENSMUSG00000021420",243,260,46,153,98,83
"ENSMUSG00000021423",6,36,22,3,3,0
"ENSMUSG00000021427",7,7,0,3,0,4
"ENSMUSG00000021428",206,255,146,163,183,131
"ENSMUSG00000021431",329,584,38,246,116,113
"ENSMUSG00000021432",0,0,0,0,0,0
"ENSMUSG00000021439",0,0,0,0,0,0
"ENSMUSG00000021440",0,0,0,0,0,0
"ENSMUSG00000021441",0,0,0,0,0,0
"ENSMUSG00000021448",1953,2083,2728,2295,1586,1812
"ENSMUSG00000021451",30,27,21,31,12,3
"ENSMUSG00000021453",0,0,0,0,4,0
"ENSMUSG00000021456",26,32,18,12,21,32
"ENSMUSG00000021457",16,18,17,0,0,0
"ENSMUSG00000021458",546,798,238,586,513,228
"ENSMUSG00000021460",112,107,87,65,60,27
"ENSMUSG00000021461",392,457,348,494,476,512
"ENSMUSG00000021464",43,153,34,148,101,95
"ENSMUSG00000021466",15,2,5,5,1,0
"ENSMUSG00000021468",0,0,0,1,0,0
"ENSMUSG00000021469",0,0,0,0,0,0
"ENSMUSG00000021470",1,0,0,6,3,4
"ENSMUSG00000021474",4,21,3,6,1,0
"ENSMUSG00000021476",44,24,12,19,27,14
"ENSMUSG00000021477",0,0,0,0,0,0
"ENSMUSG00000021478",191,238,92,95,61,59
"ENSMUSG00000021481",1309,1651,975,1067,875,989
"ENSMUSG00000021482",115,74,98,113,85,78
"ENSMUSG00000021483",0,2,1,1,2,0
"ENSMUSG00000021484",2315,3632,2974,2729,2817,2243
"ENSMUSG00000021485",230,516,642,541,505,655
"ENSMUSG00000021486",260,362,230,111,138,176
"ENSMUSG00000021488",5441,5171,5226,4454,3947,4618
"ENSMUSG00000021490",716,799,330,371,484,211
"ENSMUSG00000021492",1074,1436,813,603,662,443
"ENSMUSG00000021493",1155,1138,1190,876,848,996
"ENSMUSG00000021494",797,675,1203,956,853,1085
"ENSMUSG00000021495",3386,3313,4526,3508,3358,4046
"ENSMUSG00000021496",3,11,0,8,4,5
"ENSMUSG00000021497",25,42,9,8,28,2
"ENSMUSG00000021499",67,114,32,44,69,28
"ENSMUSG00000021500",87,249,111,264,281,151
"ENSMUSG00000021501",64,30,12,9,28,8
"ENSMUSG00000021504",84,124,6,62,51,16
"ENSMUSG00000021506",44,117,13,84,26,36
"ENSMUSG00000021508",6,0,0,0,0,0
"ENSMUSG00000021509",245,415,134,121,121,79
"ENSMUSG00000021510",0,0,0,0,0,0
"ENSMUSG00000021514",2,3,0,1,3,0
"ENSMUSG00000021518",34,37,43,10,14,27
"ENSMUSG00000021519",149,202,94,115,103,52
"ENSMUSG00000021520",12,9,18,4,7,0
"ENSMUSG00000021532",136,162,86,166,118,125
"ENSMUSG00000021534",47,34,0,36,52,4
"ENSMUSG00000021536",202,267,28,136,107,103
"ENSMUSG00000021537",2,0,0,0,2,0
"ENSMUSG00000021538",1822,2349,3656,2941,3058,2084
"ENSMUSG00000021539",0,0,0,0,0,0
"ENSMUSG00000021540",0,0,0,0,0,0
"ENSMUSG00000021541",0,0,0,0,0,0
"ENSMUSG00000021545",210,311,336,262,293,311
"ENSMUSG00000021546",20,4,11,0,0,0
"ENSMUSG00000021548",35,18,0,5,2,2
"ENSMUSG00000021549",104,21,8,0,13,9
"ENSMUSG00000021550",3,0,0,0,10,0
"ENSMUSG00000021552",2079,2373,2424,2053,2060,1943
"ENSMUSG00000021553",0,0,0,0,0,0
"ENSMUSG00000021555",3688,3912,4172,3312,3268,3420
"ENSMUSG00000021556",2244,2673,1805,1459,1549,1259
"ENSMUSG00000021557",1503,1694,1304,1163,1109,1256
"ENSMUSG00000021559",218,292,236,266,291,164
"ENSMUSG00000021565",65,143,53,99,84,23
"ENSMUSG00000021567",16,13,3,5,4,12
"ENSMUSG00000021569",75,90,95,66,65,24
"ENSMUSG00000021572",745,829,918,756,536,635
"ENSMUSG00000021573",616,611,568,547,525,499
"ENSMUSG00000021575",443,419,506,542,457,400
"ENSMUSG00000021576",100,138,39,46,42,22
"ENSMUSG00000021577",188,208,125,116,158,170
"ENSMUSG00000021578",43,40,4,11,6,0
"ENSMUSG00000021579",0,0,0,0,0,0
"ENSMUSG00000021583",298,282,212,195,239,234
"ENSMUSG00000021585",2,1,1,3,0,2
"ENSMUSG00000021587",0,0,0,0,0,0
"ENSMUSG00000021589",392,449,638,506,412,538
"ENSMUSG00000021590",100,87,18,35,29,39
"ENSMUSG00000021591",26,36,14,34,27,12
"ENSMUSG00000021592",6,1,11,1,21,0
"ENSMUSG00000021594",28,42,5,47,15,5
"ENSMUSG00000021595",21,4,2,0,0,3
"ENSMUSG00000021596",690,967,90,410,247,233
"ENSMUSG00000021597",81,95,53,92,39,74
"ENSMUSG00000021598",0,0,0,0,0,0
"ENSMUSG00000021604",0,2,0,0,2,0
"ENSMUSG00000021606",122,134,35,79,60,32
"ENSMUSG00000021607",102,182,35,64,35,25
"ENSMUSG00000021608",23,46,20,17,21,29
"ENSMUSG00000021609",7,2,0,3,0,6
"ENSMUSG00000021610",136,162,72,96,90,31
"ENSMUSG00000021611",901,773,775,792,667,651
"ENSMUSG00000021612",909,930,1169,1095,1043,933
"ENSMUSG00000021613",240,603,522,584,437,249
"ENSMUSG00000021614",108,158,15,197,36,60
"ENSMUSG00000021615",122,204,22,96,70,54
"ENSMUSG00000021619",78,118,17,58,18,12
"ENSMUSG00000021620",63,86,49,53,29,46
"ENSMUSG00000021621",56,37,1,7,26,24
"ENSMUSG00000021622",3,4,0,0,0,0
"ENSMUSG00000021624",198,165,94,103,71,102
"ENSMUSG00000021629",1,0,0,0,0,0
"ENSMUSG00000021635",1018,1018,1320,1022,902,1207
"ENSMUSG00000021636",22,17,9,12,36,7
"ENSMUSG00000021638",637,607,778,593,549,577
"ENSMUSG00000021639",706,714,1105,744,757,958
"ENSMUSG00000021640",138,69,120,114,91,63
"ENSMUSG00000021643",295,184,220,152,105,176
"ENSMUSG00000021645",141,210,98,47,81,88
"ENSMUSG00000021646",737,646,1014,826,660,751
"ENSMUSG00000021647",160,174,193,224,159,197
"ENSMUSG00000021650",75,114,29,51,58,34
"ENSMUSG00000021660",0,5,0,0,6,0
"ENSMUSG00000021661",7,10,8,11,8,12
"ENSMUSG00000021662",213,342,162,143,167,135
"ENSMUSG00000021665",0,0,0,0,0,0
"ENSMUSG00000021666",4,6,26,5,17,6
"ENSMUSG00000021668",1607,1621,1613,1532,1424,1458
"ENSMUSG00000021669",0,1,4,0,0,0
"ENSMUSG00000021670",0,0,0,0,0,0
"ENSMUSG00000021671",245,313,161,162,231,103
"ENSMUSG00000021675",459,501,420,367,315,266
"ENSMUSG00000021676",959,1468,197,668,493,281
"ENSMUSG00000021678",637,671,750,608,492,627
"ENSMUSG00000021679",33,45,20,36,32,9
"ENSMUSG00000021680",5,0,3,7,7,10
"ENSMUSG00000021681",10,4,0,0,4,0
